ID,Source,Title,ObjectName,Medium,Period,Classification,ImageURL
CLE_160425,Cleveland Museum of Art,Bull's-Head Amulet,Amulets,amethyst,c. 3500–2950 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1998.26/1998.26_web.jpg
CLE_94136,Cleveland Museum of Art,Paint Box of Vizier Amenemope,Implements,boxwood with inscription inlaid in Egyptian blue,c. 1427–1401 BCE,Unclassified,https://openaccess-cdn.clevelandart.org/1914.680/1914.680_web.jpg
CLE_136667,Cleveland Museum of Art,Nome Gods Bearing Offerings,Sculpture,painted limestone,c. 1391–1353 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1961.205/1961.205_web.jpg
CLE_148798,Cleveland Museum of Art,Nome Gods Bearing Offerings,Sculpture,painted limestone,c. 1391–1353 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1976.51/1976.51_web.jpg
CLE_130133,Cleveland Museum of Art,Head of Amenhotep III Wearing the Blue Crown,Sculpture,granodiorite,c. 1391–1353 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1952.513/1952.513_web.jpg
CLE_144280,Cleveland Museum of Art,Apis Bull,Sculpture,serpentinite,400–100 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1969.118/1969.118_web.jpg
CLE_540823,Cleveland Museum of Art,Uraeus (Rearing Cobra),Metalwork,"Silver-copper alloy with inlays (copper, feldspar, turquoise, obsidian?) and gilding",1307–1196 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/2023.102/2023.102_web.jpg
CLE_145925,Cleveland Museum of Art,Funerary Portrait of a Young Girl,Painting,encaustic on linden wood,c. 25–37 CE,Reliefs,https://openaccess-cdn.clevelandart.org/1971.137/1971.137_web.jpg
CLE_101363,Cleveland Museum of Art,Fragment of an Inlay Headdress,Inlays,lavender blue faience with deep blue overglaze,c. 1353–1295 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1920.1976/1920.1976_web.jpg
CLE_94076,Cleveland Museum of Art,Canopic Jar with Lid,Funerary Equipment,limestone,1540–1296 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1914.630/1914.630_web.jpg
CLE_93984,Cleveland Museum of Art,Coffin of Bakenmut,Funerary Equipment,gessoed and painted sycamore fig,c. 1000–900 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1914.561/1914.561_web.jpg
CLE_147518,Cleveland Museum of Art,Amulet of Bastet,Amulets,hematite,c. 1069–715 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1973.29/1973.29_web.jpg
CLE_94188,Cleveland Museum of Art,Coffin of Nesykhonsu,Funerary Equipment,gessoed and painted sycamore fig,c. 976–889 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1914.714/1914.714_web.jpg
CLE_101389,Cleveland Museum of Art,Statuette of a Lion,Sculpture,limestone,380–246 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1920.2001/1920.2001_web.jpg
CLE_149594,Cleveland Museum of Art,Head of King Userkaf,Sculpture,painted limestone,c. 2454–2447 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1979.2/1979.2_web.jpg
CLE_148796,Cleveland Museum of Art,"Statue of Heqat, the Frog Goddess",Sculpture,travertine (Egyptian alabaster),c. 2950 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1976.5/1976.5_web.jpg
CLE_156277,Cleveland Museum of Art,Weight in the Form of a Hippopotamus Head,Implements,hematite,c. 1540–1296 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1992.114/1992.114_web.jpg
CLE_101396,Cleveland Museum of Art,White Cross-Lined Bowl with Turtle and Sun,Vessels,Nile silt pottery,c. 4000–3400 BCE,Pottery,https://openaccess-cdn.clevelandart.org/1920.2008/1920.2008_web.jpg
CLE_125901,Cleveland Museum of Art,Torso of Amenpayom,Sculpture,granodiorite,probably 200–100 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1948.141/1948.141_web.jpg
CLE_141478,Cleveland Museum of Art,Seated Statue of Nykara,Sculpture,red granite and pigment,2408–2377 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1964.90/1964.90_web.jpg
CLE_148794,Cleveland Museum of Art,Talatat: Portrait of Nefertiti,Sculpture,painted sandstone,c. 1353–1347 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1976.4/1976.4_web.jpg
CLE_152255,Cleveland Museum of Art,Statuette of a Man,Sculpture,painted limestone,c. 1859–1648 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1985.136/1985.136_web.jpg
CLE_154904,Cleveland Museum of Art,Palette in the Form of a Turtle,Implements,graywacke,c. 3500–3050 BCE,Unclassified,https://openaccess-cdn.clevelandart.org/1989.47/1989.47_web.jpg
