ID,Source,Title,ObjectName,Medium,Period,Classification,ImageURL
HAM_214506,Harvard Art Museums,Sculptor's Model of a Lion,Sculpture,Limestone,Late Period,Statuary,https://nrs.harvard.edu/urn-3:HUAM:DDC253379
HAM_214550,Harvard Art Museums,Textile,Textile Arts,,,Unclassified,https://nrs.harvard.edu/urn-3:HUAM:INV050248_dynmc
HAM_214848,Harvard Art Museums,Mummy Wrapping: Figure of a Woman,Textile Arts,Ink on even weave tabby linen,Ptolemaic period,Statuary,https://nrs.harvard.edu/urn-3:HUAM:CARP05569_dynmc
HAM_215199,Harvard Art Museums,Fragment of a Clavus (tunic band): Figure and Floral Design,Textile Arts,"Wool and linen, tapestry weave","Byzantine period, Early",Statuary,https://nrs.harvard.edu/urn-3:HUAM:761864
HAM_215292,Harvard Art Museums,Fragment of Akhmim Silk,Textile Arts,Silk,Islamic period,Unclassified,https://nrs.harvard.edu/urn-3:HUAM:CARP05561_dynmc
HAM_215295,Harvard Art Museums,Clavi (tunic bands): Leaves and Palmettes,Textile Arts,"Wool and linen, tapestry weave","Byzantine period, Early",Unclassified,https://nrs.harvard.edu/urn-3:HUAM:761861
HAM_215515,Harvard Art Museums,Clavus (tunic band): Dionysos (Bacchus),Textile Arts,"Wool and linen, tapestry weave","Byzantine period, Early",Unclassified,https://nrs.harvard.edu/urn-3:HUAM:761862
HAM_215708,Harvard Art Museums,Leather Binding from a Manuscript,Manuscripts,Leather,Mamluk period,Unclassified,https://nrs.harvard.edu/urn-3:HUAM:CARP02631_dynmc
HAM_216090,Harvard Art Museums,Bucket,Vessels,Metal,Fatimid period,Pottery,https://nrs.harvard.edu/urn-3:HUAM:31351_dynmc
HAM_216256,Harvard Art Museums,Statuette of an Official Wearing a Long Kilt,Sculpture,Wood,Middle Kingdom,Jewellery,https://nrs.harvard.edu/urn-3:HUAM:DDC251168_dynmc
HAM_216463,Harvard Art Museums,Censer,Vessels,Metal,,Pottery,https://nrs.harvard.edu/urn-3:HUAM:CARP01389_dynmc
HAM_219609,Harvard Art Museums,Portrait of a woman,Paintings,"Binder: Beeswax
Pigments: Lead white, red and yellow ochres, carbon black, indigo, madder lake, green earth (celadonite), natrojarosite
Support: Native Egyptian sycomore fig (Ficus sycomorus)","Roman Imperial period, Middle",Pottery,https://nrs.harvard.edu/urn-3:HUAM:70813_dynmc
HAM_219610,Harvard Art Museums,Spouted Jug,Vessels,Blue faience,Late Period,Pottery,https://nrs.harvard.edu/urn-3:HUAM:INV031165_dynmc
HAM_219624,Harvard Art Museums,Cat,Sculpture,"Leaded bronze, mixed copper-alloy inlay",Late Period to Ptolemaic,Statuary,https://nrs.harvard.edu/urn-3:HUAM:51904_dynmc
HAM_219706,Harvard Art Museums,Seated Figure of the Goddess Isis,Sculpture,"Gilded wood, with bronze crown",Late Period to Ptolemaic,Statuary,https://nrs.harvard.edu/urn-3:huam:DDC112409_dynmc
HAM_219732,Harvard Art Museums,Head of a Man,Sculpture,Rose granite,"New Kingdom, Dynasty 18",Statuary,https://nrs.harvard.edu/urn-3:HUAM:VRS89384_dynmc
HAM_219734,Harvard Art Museums,Attachment in the Form of a Falcon,Sculpture,Terracotta covered in a burnished brown slip,"Late Period, Dynasty 26",Statuary,https://nrs.harvard.edu/urn-3:HUAM:LEG27010_dynmc
HAM_221567,Harvard Art Museums,Apis Bull,Sculpture,Leaded bronze,Late Period to Ptolemaic,Statuary,https://nrs.harvard.edu/urn-3:HUAM:LEG251350_dynmc
HAM_221745,Harvard Art Museums,The God Bes,Sculpture,Bronze,Late Period to Ptolemaic,Statuary,https://nrs.harvard.edu/urn-3:HUAM:LEG251216_dynmc
