ID,Source,Title,ObjectName,Medium,Period,Classification,ImageURL
MET_329767,Met Museum,Bastet holding aegis and basket,"Bastet, standing, aegis, basket; 138-jewelry-case",Cupreous metal,Late Period (Saite)–Ptolemaic Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/DP-21418-002.jpg
MET_329768,Met Museum,Upper half of a woman from a pair or group statue,Upper half of a woman from a pair or group statue,Granite (?),Late Middle Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-21419-001.jpg
MET_329769,Met Museum,Head from a figure of Osiris,Head from a figure of Osiris,Graywacke (?),Late Period (Saite),Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-21420-001.jpg
MET_329771,Met Museum,Figure of Osiris,"figure, Osiris",Cupreous metal,Late Period–Ptolemaic Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-21422-001.jpg
MET_329774,Met Museum,Head and chest of a shabti figure,Head and chest of a shabti figure,Steatite or serpentinite,Middle Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-21424-001.jpg
MET_329775,Met Museum,Kohl Tube Held by a Dwarf,Kohl Tube Held by a Dwarf,Steatite,Late Middle Kingdom–Second Intermediate Period,Unclassified,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_8_EGDP038936.jpg
MET_329776,Met Museum,Sow Amulet,Sow Amulet,Faience,Third Intermediate Period–Late Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_11_EGDP032880.jpg
MET_329777,Met Museum,Falcon Amulet,Falcon Amulet,Lapis lazuli,Late Period–Ptolemaic Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_12_EGDP032850.jpg
MET_329778,Met Museum,Falcon Amulet,Falcon Amulet,Granodiorite,Late Period–Ptolemaic Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_13_EGDP032851.jpg
MET_329780,Met Museum,Statuette of a female figure with a braid,"statue, figurine, braid, foreigner, servant",Steatite,Late Middle Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-21426-002.jpg
MET_329782,Met Museum,Upper Part of a Jar in the Shape of a Woman’s Head,,"Pottery, paint",New Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_17_EGDP031890.jpg
MET_329783,Met Museum,Upper half of a woman from a pair or group statue,Upper half of a woman from a pair or group statue,Steatite or serpentinite,Late Middle Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-21427-001.jpg
MET_329784,Met Museum,Large Alabastron,,Travertine (Egyptian alabaster),Ptolemaic Period,Unclassified,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_19_EGDP038925.jpg
MET_329785,Met Museum,Two-Sided Plaque with Gazelles,,Faience,New Kingdom–Third Intermediate Period,Reliefs,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_20_EGDP032448.jpg
MET_329787,Met Museum,"A lion headed goddess, possibly Wadjet","bronze, lioness, lion-headed, wadjet, sakhmet",Copper alloy,Saite Period–Late Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-21429-001.jpg
MET_329788,Met Museum,Djed Pillar Amulet,Djed Pillar Amulet,Faience,Late Period–Ptolemaic Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_22_EGDP033060.jpg
MET_329789,Met Museum,Head of a Man with a Round Wig,,"Limestone, paint",Second Intermediate Period–early Dynasty 18,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-21430-001.jpg
MET_329790,Met Museum,Shabti of Shedsuhori,Shabti of Shedsuhori,Faience,Third Intermediate Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_24_EGDP032077.jpg
MET_329792,Met Museum,Scarab of Seti II,"scarab, hieroglyphs, cartouche, Seti II",Faience,New Kingdom,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_25_EGDP032907.jpg
MET_329793,Met Museum,Plaque with winged Re-Harakhty,"plaque, uraei, beetle, winged falcon-headed sun god",Glazed steatite,New Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_26_EGDP032521.jpg
MET_329794,Met Museum,Partial Statuette of a Hippo Goddess,,Faience,Late Period or later,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_29_EGDP032839.jpg
MET_329795,Met Museum,Top of papyrus scepter amulet with falcon head,Top of papyrus scepter amulet with falcon head,Faience,Third Intermediate Period–Ptolemaic Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_30_EGDP032891.jpg
MET_329796,Met Museum,Figure of Isis nursing Horus,"Amulet of Isis nursing Horus, figure",Faience,Ptolemaic Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_31_EGDP031962.jpg
MET_329797,Met Museum,Statuette of Hippo Goddess,"statuette, hippo goddess, possibly Taweret, amulet",Faience,Late Period or later,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_32_EGDP032827.jpg
MET_329798,Met Museum,Anubis Amulet,Anubis Amulet,Faience,Late Period–Ptolemaic Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_33_EGDP032833.jpg
MET_329799,Met Museum,"Head with tripartite wig, probably from a shabti",Head of a Shabti,Steatite or serpentinite,New Kingdom,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_34_EGDP032381.jpg
MET_329803,Met Museum,Head of a Male Figure,Head of a Male Figure,"Limestone, paint",Second Intermediate Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_35_EGDP035781.jpg
MET_329804,Met Museum,"Head of a Ptolemaic Queen, Possibly Berenike II","Head of a Ptolemaic Queen, Possibly Berenike II",Green and yellow faience,Ptolemaic Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-21431-001.jpg
MET_329805,Met Museum,Ptah Figure,Ptah figure,Faience,Late Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_37_EGDP031839.jpg
MET_329806,Met Museum,Partial Shu Amulet,Partial Shu Amulet,Faience,Late Period,Jewellery,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_38_EGDP031821.jpg
MET_329807,Met Museum,Upper part of a figure of Isis nursing Horus,Upper part of a figure depicting Isis nursing Horus,Faience,Early Ptolemaic Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-21432-001.jpg
MET_329808,Met Museum,Head from a Bes Jar,,Faience,Late Period–Ptolemaic Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/DP-21433-001.jpg
MET_329809,Met Museum,Upper part of a figure of Isis nursing Horus,Upper part of a figure depicting Isis nursing Horus,Faience,Early Ptolemaic Period,Statuary,https://images.metmuseum.org/CRDImages/eg/web-large/LC-2021_41_41_EGDP031974.jpg
