ID,Source,Title,ObjectName,Medium,Period,Classification,ImageURL,original_source_file
CLE_136178,Cleveland Museum of Art,The Flight into Egypt,Print,woodcut,c. 1503–5,Unclassified,https://openaccess-cdn.clevelandart.org/1959.99.14/1959.99.14_web.jpg,CLE_data.csv
CLE_160425,Cleveland Museum of Art,Bull's-Head Amulet,Amulets,amethyst,c. 3500–2950 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1998.26/1998.26_web.jpg,CLE_data.csv
CLE_94136,Cleveland Museum of Art,Paint Box of Vizier Amenemope,Implements,boxwood with inscription inlaid in Egyptian blue,c. 1427–1401 BCE,Unclassified,https://openaccess-cdn.clevelandart.org/1914.680/1914.680_web.jpg,CLE_data.csv
CLE_137195,Cleveland Museum of Art,Rest on the Flight into Egypt,Painting,oil on canvas,early 1640s,Reliefs,https://openaccess-cdn.clevelandart.org/1962.151/1962.151_web.jpg,CLE_data.csv
CLE_131670,Cleveland Museum of Art,The Flight into Egypt,Print,engraving,1470–74,Unclassified,https://openaccess-cdn.clevelandart.org/1954.260/1954.260_web.jpg,CLE_data.csv
CLE_136667,Cleveland Museum of Art,Nome Gods Bearing Offerings,Sculpture,painted limestone,c. 1391–1353 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1961.205/1961.205_web.jpg,CLE_data.csv
CLE_148798,Cleveland Museum of Art,Nome Gods Bearing Offerings,Sculpture,painted limestone,c. 1391–1353 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1976.51/1976.51_web.jpg,CLE_data.csv
CLE_130133,Cleveland Museum of Art,Head of Amenhotep III Wearing the Blue Crown,Sculpture,granodiorite,c. 1391–1353 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/1952.513/1952.513_web.jpg,CLE_data.csv
CLE_144280,Cleveland Museum of Art,Apis Bull,Sculpture,serpentinite,400–100 BCE,Statuary,https://openaccess-cdn.clevelandart.org/1969.118/1969.118_web.jpg,CLE_data.csv
CLE_540823,Cleveland Museum of Art,Uraeus (Rearing Cobra),Metalwork,"Silver-copper alloy with inlays (copper, feldspar, turquoise, obsidian?) and gilding",1307–1196 BCE,Jewellery,https://openaccess-cdn.clevelandart.org/2023.102/2023.102_web.jpg,CLE_data.csv
